ConversationParticipants	ConversationId	2	bigint		19	0	NO	
ConversationParticipants	UserId	3	bigint		19	0	NO	
ConversationParticipants	JoinedAt	4	datetime2				NO	(sysutcdatetime())
ConversationParticipants	LeftAt	5	datetime2				YES	
Conversations	Id	1	bigint		19	0	NO	
Conversations	RequestId	2	bigint		19	0	NO	
Conversations	BusinessId	3	bigint		19	0	YES	
Conversations	CustomerId	4	bigint		19	0	NO	
Conversations	CreateDate	5	datetime2				NO	(sysutcdatetime())
Customers	Id	1	bigint		19	0	NO	
Customers	UserId	2	bigint		19	0	NO	
Customers	CreateDate	3	datetime2				NO	(sysutcdatetime())
Customers	UpdateDate	4	datetime2				YES	
Customers	IsDeleted	5	bit				NO	((0))
Deals	Id	1	bigint		19	0	NO	
Deals	RequestId	2	bigint		19	0	NO	
Deals	ProposalId	3	bigint		19	0	NO	
Deals	CustomerId	4	bigint		19	0	NO	
Deals	Status	5	nvarchar	30			NO	(N'Active')
Deals	TotalPrice	6	decimal		18	2	NO	
Deals	AcceptedAt	7	datetime2				NO	(sysutcdatetime())
Deals	CompletedAt	8	datetime2				YES	
Deals	CancelledAt	9	datetime2				YES	
Deals	CreateDate	10	datetime2				NO	(sysutcdatetime())
Deals	UpdateDate	11	datetime2				YES	
Deals	IsDeleted	12	bit				NO	((0))
ExecutionAssignments	Id	1	bigint		19	0	NO	
ExecutionAssignments	ServiceExecutionId	2	bigint		19	0	NO	
ExecutionAssignments	ProviderId	3	bigint		19	0	NO	
ExecutionAssignments	Role	4	nvarchar	100			NO	
ExecutionAssignments	IsPrimary	5	bit				NO	((0))
ExecutionAssignments	Status	6	nvarchar	30			NO	(N'Assigned')
ExecutionAssignments	AssignedAt	7	datetime2				NO	(sysutcdatetime())
ExecutionAssignments	StartAt	8	datetime2				YES	
ExecutionAssignments	EndAt	9	datetime2				YES	
ExecutionAssignments	CreateDate	10	datetime2				NO	(sysutcdatetime())
ExecutionAssignments	UpdateDate	11	datetime2				YES	
Media	Id	1	bigint		19	0	NO	
Media	FileName	2	nvarchar	500			NO	
Media	StorageKey	3	nvarchar	1000			NO	
Media	ContentType	4	nvarchar	200			NO	
Media	Size	5	bigint		19	0	NO	
Media	Url	6	nvarchar	2000			YES	
Media	CreateDate	7	datetime2				NO	(sysutcdatetime())
Messages	Id	1	bigint		19	0	NO	
Messages	ConversationId	2	bigint		19	0	NO	
Messages	SenderUserId	3	bigint		19	0	NO	
Messages	Text	4	nvarchar	-1			NO	
